borrower_type,monthly_inflow,upi_tx_count_monthly,upi_debit_to_credit_ratio,cashflow_volatility,utility_payment_delay_days,telecom_recharge_regularity,gst_filing_punctuality,ecommerce_cancellation_rate,mobility_activity_score,is_default
gig_worker,57414.84,46,0.823,0.55,1,0.759,0.0,0.294,89.3,0
kirana_merchant,12660.26,44,1.04,0.487,3,0.464,0.388,0.181,44.8,1
gig_worker,27038.32,39,0.995,0.874,14,0.999,0.0,0.085,75.7,0
gig_worker,19065.83,45,0.885,0.212,0,0.243,0.0,0.172,79.3,0
kirana_merchant,23029.11,44,1.004,0.535,5,0.544,0.303,0.335,61.7,1
freelancer,32900.99,41,0.676,0.744,0,0.985,0.0,0.304,58.0,0
kirana_merchant,37598.49,55,0.697,0.419,17,0.92,0.433,0.253,59.3,0
kirana_merchant,25436.41,50,0.704,0.689,0,0.563,0.776,0.153,46.6,0
freelancer,10335.4,44,0.988,0.819,4,0.771,0.0,0.112,47.5,1
gig_worker,16605.3,49,1.045,0.309,10,0.496,0.0,0.171,85.2,1
gig_worker,42118.82,41,0.881,0.293,9,0.583,0.0,0.24,58.0,0
gig_worker,6834.83,49,1.079,0.389,5,0.717,0.0,0.312,39.0,0
kirana_merchant,48713.6,48,0.964,0.435,15,0.499,0.295,0.332,16.4,1
kirana_merchant,34913.02,47,0.882,0.189,2,0.82,0.918,0.274,40.6,0
freelancer,51952.65,35,0.906,0.285,5,0.478,0.0,0.228,39.7,0
kirana_merchant,24360.43,44,1.025,0.799,0,0.364,0.336,0.042,27.6,0
kirana_merchant,9597.88,42,0.645,0.553,3,0.403,0.206,0.23,49.9,0
gig_worker,33362.28,48,0.684,0.314,1,0.923,0.0,0.267,73.8,0
freelancer,50885.16,52,0.733,0.855,4,0.803,0.0,0.298,27.9,1
freelancer,42717.37,47,1.047,0.719,9,0.919,0.0,0.164,46.6,0
freelancer,19315.33,50,1.072,0.39,12,0.944,0.0,0.029,15.1,0
gig_worker,28095.94,46,0.778,0.712,19,0.21,0.0,0.072,74.1,0
kirana_merchant,20611.03,40,1.062,0.577,0,0.354,0.363,0.145,68.9,0
gig_worker,17860.86,37,0.873,0.647,2,0.513,0.0,0.246,69.2,0
gig_worker,43377.42,49,0.837,0.357,3,0.367,0.0,0.187,82.8,0
gig_worker,14783.01,42,1.016,0.268,1,0.244,0.0,0.234,82.3,0
kirana_merchant,17207.35,43,0.873,0.303,8,0.943,0.038,0.208,38.2,0
kirana_merchant,15490.58,49,0.827,0.167,1,0.911,0.427,0.33,22.1,0
gig_worker,12770.28,47,0.608,0.477,1,0.352,0.0,0.28,63.5,0
gig_worker,28946.57,50,0.606,0.425,0,0.593,0.0,0.289,76.4,0
kirana_merchant,48086.25,49,0.914,0.102,5,0.982,0.15,0.25,60.9,0
gig_worker,24527.78,40,0.637,0.785,6,0.673,0.0,0.047,49.4,0
gig_worker,12671.7,43,0.968,0.645,12,0.633,0.0,0.343,60.9,1
kirana_merchant,40944.48,59,0.911,0.457,3,0.54,0.314,0.043,44.4,0
kirana_merchant,62495.57,42,0.829,0.874,8,0.302,0.444,0.138,30.6,0
gig_worker,19474.84,45,0.955,0.852,19,0.292,0.0,0.286,92.2,1
gig_worker,21178.1,36,1.097,0.176,0,0.9,0.0,0.123,70.0,0
gig_worker,34815.93,45,0.723,0.592,2,0.394,0.0,0.228,75.8,1
freelancer,60532.57,41,0.879,0.754,3,0.417,0.0,0.315,23.5,1
kirana_merchant,20745.46,43,1.021,0.238,3,0.309,0.288,0.289,55.5,0
kirana_merchant,13818.66,48,0.608,0.202,4,0.514,0.303,0.206,29.3,0
gig_worker,36890.5,40,0.702,0.308,0,0.701,0.0,0.19,78.3,0
kirana_merchant,40116.14,59,0.86,0.324,0,0.632,0.629,0.09,69.6,0
gig_worker,26985.79,46,0.876,0.872,2,0.227,0.0,0.216,83.6,1
kirana_merchant,20351.98,52,0.643,0.724,0,0.575,0.588,0.249,47.1,0
freelancer,44231.36,40,0.804,0.148,5,0.535,0.0,0.221,24.2,1
kirana_merchant,35032.03,47,0.86,0.729,8,0.41,0.346,0.099,32.6,1
freelancer,18320.62,61,0.811,0.236,7,0.719,0.0,0.305,42.6,0
kirana_merchant,27571.76,45,0.95,0.386,3,0.952,0.389,0.197,46.3,0
gig_worker,13686.24,32,0.986,0.355,2,0.76,0.0,0.052,84.7,0
freelancer,37909.05,41,0.83,0.318,0,0.344,0.0,0.069,35.4,0
gig_worker,23597.2,39,0.813,0.347,14,0.721,0.0,0.303,79.5,1
kirana_merchant,21636.66,42,0.953,0.703,11,0.321,0.225,0.122,45.6,1
gig_worker,26464.59,44,0.878,0.313,1,0.637,0.0,0.205,81.1,0
gig_worker,27450.89,47,1.035,0.741,8,0.969,0.0,0.174,67.7,1
kirana_merchant,42085.77,49,0.841,0.173,38,0.977,0.447,0.19,20.6,1
gig_worker,36154.09,42,0.887,0.576,13,0.907,0.0,0.254,85.9,1
kirana_merchant,24879.4,40,0.664,0.79,3,0.494,0.173,0.272,41.8,1
kirana_merchant,39412.33,54,1.018,0.163,0,0.764,0.453,0.34,65.7,0
gig_worker,32871.74,34,0.811,0.608,0,0.336,0.0,0.252,73.5,0
gig_worker,21735.46,37,0.96,0.509,0,0.944,0.0,0.124,72.4,0
kirana_merchant,25276.77,44,0.815,0.366,6,0.564,0.107,0.234,65.3,1
gig_worker,24981.44,41,0.601,0.181,1,0.655,0.0,0.213,62.9,0
kirana_merchant,34635.37,43,0.8,0.641,6,0.508,0.397,0.197,37.0,0
kirana_merchant,22392.66,56,0.674,0.348,2,0.532,0.766,0.023,51.0,0
freelancer,22132.35,39,0.799,0.371,2,0.5,0.0,0.287,23.3,0
kirana_merchant,71996.92,52,0.761,0.674,4,0.581,0.913,0.328,72.7,0
kirana_merchant,43039.25,40,0.701,0.856,0,0.888,0.702,0.111,39.0,0
kirana_merchant,18392.53,41,0.662,0.367,7,0.876,0.341,0.042,41.0,0
gig_worker,35791.67,41,0.964,0.697,2,0.47,0.0,0.079,91.0,0
gig_worker,28543.23,52,0.977,0.865,2,0.291,0.0,0.349,72.9,1
kirana_merchant,32721.11,42,0.732,0.178,2,0.56,0.076,0.231,30.8,0
kirana_merchant,28815.56,48,0.848,0.523,5,0.204,0.555,0.144,59.6,1
kirana_merchant,48767.59,41,0.832,0.109,0,0.798,0.731,0.11,57.8,0
freelancer,31978.22,43,0.778,0.76,3,0.202,0.0,0.346,19.2,0
freelancer,26080.83,37,0.739,0.33,3,0.365,0.0,0.082,25.6,0
freelancer,45301.49,43,0.693,0.366,0,0.32,0.0,0.083,21.1,1
kirana_merchant,30231.59,46,1.036,0.65,1,0.899,0.878,0.163,5.0,0
gig_worker,28587.91,35,1.017,0.731,5,1.0,0.0,0.142,99.0,0
kirana_merchant,31476.97,43,0.809,0.42,2,0.317,0.388,0.075,21.5,0
gig_worker,25673.01,48,0.961,0.632,5,0.655,0.0,0.26,60.4,0
kirana_merchant,27027.59,60,0.849,0.865,7,0.861,0.454,0.343,51.9,1
kirana_merchant,20063.4,45,0.643,0.81,1,0.482,0.2,0.1,49.4,1
kirana_merchant,18479.48,42,1.011,0.661,2,0.404,0.141,0.219,54.5,1
gig_worker,16329.28,47,0.71,0.854,26,0.433,0.0,0.097,76.0,1
gig_worker,13413.38,44,0.953,0.801,4,0.458,0.0,0.182,93.4,0
kirana_merchant,17329.08,34,0.864,0.683,0,0.405,0.15,0.285,34.7,0
gig_worker,24658.24,47,0.945,0.834,5,0.253,0.0,0.181,96.6,1
freelancer,28326.66,43,0.836,0.754,7,0.935,0.0,0.294,29.9,1
gig_worker,23490.51,34,0.951,0.502,7,0.92,0.0,0.209,54.3,0
gig_worker,8284.56,55,0.616,0.502,27,0.882,0.0,0.344,66.6,0
gig_worker,59118.15,52,0.62,0.107,0,0.814,0.0,0.197,79.2,0
kirana_merchant,46315.88,45,1.048,0.124,7,0.799,0.111,0.263,64.3,0
kirana_merchant,33620.12,49,0.975,0.697,10,0.765,0.405,0.091,54.9,1
gig_worker,69824.86,44,1.014,0.544,5,0.882,0.0,0.093,55.4,0
gig_worker,16503.34,44,0.828,0.709,3,0.244,0.0,0.138,59.9,0
kirana_merchant,69134.73,47,0.83,0.86,3,0.816,0.291,0.093,34.9,0
gig_worker,16603.9,37,0.867,0.462,3,0.895,0.0,0.025,75.7,0
kirana_merchant,30314.12,51,0.722,0.171,0,0.719,0.31,0.091,60.4,0
kirana_merchant,14229.62,38,0.967,0.601,1,0.879,0.567,0.182,46.5,0
gig_worker,27101.57,46,1.015,0.18,0,0.438,0.0,0.241,49.2,0
gig_worker,32633.13,56,1.054,0.597,0,0.489,0.0,0.203,91.0,0
freelancer,24900.79,48,0.859,0.522,0,0.688,0.0,0.083,26.5,0
kirana_merchant,38443.26,43,0.807,0.67,0,0.313,0.417,0.063,64.3,0
kirana_merchant,28268.61,39,1.015,0.381,16,0.353,0.968,0.293,38.7,1
gig_worker,20718.71,37,0.976,0.215,0,0.995,0.0,0.277,69.2,0
kirana_merchant,20263.84,45,1.034,0.289,2,0.83,0.09,0.1,49.6,0
gig_worker,40354.45,39,0.928,0.647,2,0.29,0.0,0.192,84.7,0
kirana_merchant,19401.95,38,1.042,0.483,5,0.293,0.088,0.242,78.9,0
freelancer,42518.79,34,0.645,0.533,0,0.514,0.0,0.249,30.0,0
gig_worker,49580.65,45,0.94,0.358,2,0.998,0.0,0.17,69.7,0
gig_worker,11680.11,60,0.644,0.769,7,0.98,0.0,0.179,59.5,0
gig_worker,47404.06,37,0.974,0.9,12,0.578,0.0,0.179,60.3,1
gig_worker,75373.52,39,0.914,0.35,2,0.554,0.0,0.207,69.2,0
gig_worker,30515.86,41,0.608,0.675,1,0.671,0.0,0.174,86.0,0
gig_worker,36298.88,48,0.9,0.237,11,0.73,0.0,0.18,64.1,0
kirana_merchant,45184.2,49,0.673,0.694,1,0.412,0.271,0.29,59.8,0
kirana_merchant,23441.4,35,0.671,0.445,1,0.337,0.12,0.088,37.9,0
gig_worker,29470.35,38,0.675,0.584,2,0.853,0.0,0.173,87.5,0
freelancer,13945.33,45,0.842,0.29,0,0.483,0.0,0.247,5.0,0
gig_worker,28834.2,50,0.658,0.781,0,0.231,0.0,0.201,63.1,1
freelancer,34511.78,31,0.663,0.239,2,0.886,0.0,0.118,51.3,0
gig_worker,34824.68,46,0.728,0.843,3,0.788,0.0,0.053,78.4,0
freelancer,45830.83,45,0.6,0.149,7,0.777,0.0,0.24,34.1,0
kirana_merchant,18262.39,42,0.738,0.33,0,0.721,0.378,0.255,49.0,0
freelancer,20613.4,59,0.909,0.55,7,0.531,0.0,0.041,42.9,0
freelancer,69407.74,32,0.901,0.787,0,0.91,0.0,0.259,35.5,1
gig_worker,24955.16,53,1.085,0.562,2,0.492,0.0,0.292,67.8,1
freelancer,29733.12,51,0.66,0.273,3,0.414,0.0,0.315,49.8,0
gig_worker,26016.73,52,1.033,0.787,0,0.632,0.0,0.345,84.2,0
gig_worker,17839.31,38,0.796,0.577,6,0.571,0.0,0.214,86.7,0
gig_worker,60582.7,46,0.794,0.286,7,0.227,0.0,0.344,99.0,0
kirana_merchant,20664.02,46,0.774,0.549,2,0.43,0.806,0.201,49.0,0
gig_worker,15311.47,47,0.662,0.64,8,0.505,0.0,0.242,99.0,1
kirana_merchant,21474.68,38,0.839,0.644,0,0.833,0.844,0.247,69.8,0
kirana_merchant,9888.69,53,0.994,0.679,0,0.518,0.103,0.264,70.4,0
kirana_merchant,19425.78,47,1.038,0.817,1,0.952,0.665,0.274,51.8,0
freelancer,16579.72,43,1.081,0.76,5,0.793,0.0,0.206,51.0,1
kirana_merchant,36633.35,47,0.993,0.586,8,0.855,0.642,0.274,71.3,1
gig_worker,19212.05,38,0.912,0.126,0,0.912,0.0,0.104,57.1,0
gig_worker,41936.09,40,0.849,0.7,4,0.357,0.0,0.19,71.6,1
gig_worker,54135.31,47,1.037,0.88,18,0.842,0.0,0.078,76.0,0
gig_worker,39758.85,28,0.97,0.344,5,0.355,0.0,0.161,89.0,0
gig_worker,24156.43,46,0.681,0.586,5,0.64,0.0,0.148,82.2,0
gig_worker,28869.97,48,0.941,0.715,12,0.445,0.0,0.029,85.1,0
freelancer,12550.4,48,0.816,0.611,10,0.598,0.0,0.113,43.8,0
kirana_merchant,25162.51,53,0.898,0.838,3,0.369,0.159,0.252,48.6,1
gig_worker,17496.93,41,1.049,0.479,2,0.969,0.0,0.169,49.8,0
kirana_merchant,38069.29,45,0.926,0.525,6,0.733,0.596,0.325,37.3,0
gig_worker,97380.01,33,1.069,0.131,3,0.401,0.0,0.154,84.5,0
kirana_merchant,34541.29,48,1.033,0.82,4,0.389,0.919,0.172,44.5,0
kirana_merchant,9941.07,34,0.664,0.31,1,0.326,0.3,0.276,20.3,0
kirana_merchant,22457.61,39,0.606,0.883,15,0.822,0.228,0.048,36.1,1
kirana_merchant,28602.39,46,0.792,0.262,0,0.584,0.637,0.325,76.3,0
freelancer,28104.32,46,1.033,0.303,0,0.915,0.0,0.183,14.0,0
freelancer,18668.51,40,0.715,0.488,1,0.201,0.0,0.264,5.0,1
kirana_merchant,30413.62,39,0.946,0.628,3,0.597,0.022,0.253,62.2,0
kirana_merchant,14454.33,37,0.838,0.453,8,0.59,0.863,0.121,42.1,0
kirana_merchant,16773.33,43,0.973,0.381,6,0.986,0.297,0.35,53.2,0
gig_worker,37156.68,46,0.682,0.532,1,0.78,0.0,0.033,84.4,0
gig_worker,16190.31,52,0.72,0.867,0,0.631,0.0,0.327,53.8,1
gig_worker,35210.72,52,0.721,0.87,4,0.665,0.0,0.052,84.6,0
kirana_merchant,13565.27,48,0.874,0.362,5,0.759,0.281,0.122,10.5,0
kirana_merchant,65017.58,55,0.745,0.644,9,0.935,0.226,0.317,49.4,0
gig_worker,18267.25,47,1.006,0.678,1,0.251,0.0,0.091,83.3,1
freelancer,24056.65,43,0.773,0.623,3,0.251,0.0,0.041,38.3,1
freelancer,31739.16,50,0.93,0.19,4,0.364,0.0,0.259,16.6,0
kirana_merchant,20278.67,52,1.074,0.532,5,0.553,0.309,0.115,44.0,0
kirana_merchant,28903.07,47,0.903,0.711,0,0.479,0.003,0.152,70.0,1
freelancer,35870.78,53,0.721,0.261,4,0.242,0.0,0.168,44.3,1
gig_worker,43490.88,50,1.015,0.379,3,0.679,0.0,0.243,63.7,0
kirana_merchant,39964.58,53,0.606,0.263,5,0.875,0.529,0.262,43.7,0
gig_worker,24688.55,51,0.728,0.81,0,0.245,0.0,0.13,85.5,1
kirana_merchant,25001.33,47,0.794,0.787,2,0.618,0.915,0.318,69.1,0
gig_worker,87077.54,47,0.698,0.235,0,0.985,0.0,0.091,47.3,0
freelancer,43258.31,56,0.902,0.708,1,0.24,0.0,0.271,53.2,1
freelancer,16968.06,39,0.879,0.391,0,0.436,0.0,0.259,51.1,1
gig_worker,28282.37,36,0.803,0.649,9,0.554,0.0,0.192,59.0,0
kirana_merchant,22752.46,54,0.747,0.495,10,0.339,0.128,0.341,52.0,1
freelancer,25142.95,53,0.817,0.478,1,0.641,0.0,0.174,32.2,0
kirana_merchant,14548.63,45,0.746,0.805,0,0.882,0.987,0.303,29.9,0
freelancer,21895.54,43,0.711,0.61,0,0.493,0.0,0.041,34.0,0
kirana_merchant,66554.6,38,0.776,0.289,1,0.207,0.304,0.152,21.5,0
gig_worker,35937.56,34,0.901,0.189,0,0.691,0.0,0.091,73.1,0
gig_worker,7742.03,51,0.924,0.847,0,0.906,0.0,0.303,65.6,0
gig_worker,49432.42,45,0.749,0.223,1,0.835,0.0,0.161,68.2,0
kirana_merchant,46388.87,61,1.074,0.687,2,0.721,0.155,0.194,39.0,0
gig_worker,22479.46,46,0.731,0.497,2,0.82,0.0,0.24,69.5,1
kirana_merchant,38508.4,43,0.956,0.212,8,0.458,0.999,0.154,32.2,0
kirana_merchant,17506.03,48,0.641,0.721,17,0.589,0.045,0.139,5.0,1
kirana_merchant,21266.16,45,0.932,0.824,7,0.508,0.649,0.131,75.3,0
freelancer,56912.67,44,0.83,0.197,5,0.232,0.0,0.274,61.9,0
freelancer,23485.42,41,0.885,0.154,1,0.396,0.0,0.346,47.0,1
kirana_merchant,10563.23,36,0.692,0.78,2,0.597,0.124,0.127,37.7,1
freelancer,26064.99,46,0.817,0.501,5,0.716,0.0,0.242,47.8,1
kirana_merchant,25866.55,40,0.983,0.64,8,0.215,0.588,0.31,16.0,1
kirana_merchant,48980.83,52,0.984,0.453,6,0.941,0.246,0.345,58.8,0
freelancer,27096.73,39,0.719,0.43,5,0.678,0.0,0.211,28.1,0
gig_worker,21790.05,38,0.776,0.34,6,0.868,0.0,0.08,53.4,0
gig_worker,45366.45,51,0.602,0.55,1,0.348,0.0,0.199,88.3,0
freelancer,28578.08,52,0.645,0.228,4,0.702,0.0,0.236,43.6,0
kirana_merchant,18490.06,50,0.663,0.674,3,0.265,0.208,0.178,36.2,0
freelancer,47930.09,48,0.747,0.54,9,0.562,0.0,0.122,35.3,1
freelancer,29638.54,29,0.98,0.778,0,0.758,0.0,0.123,22.1,1
gig_worker,26942.57,36,0.855,0.837,1,0.729,0.0,0.284,79.3,0
freelancer,29406.01,41,0.996,0.82,4,0.387,0.0,0.339,43.1,1
kirana_merchant,15751.11,44,0.977,0.581,2,0.289,0.31,0.247,49.9,0
kirana_merchant,20664.51,49,0.894,0.355,2,0.484,0.173,0.17,9.6,1
kirana_merchant,26951.42,42,0.85,0.386,4,0.688,0.256,0.125,47.8,1
freelancer,24408.05,51,1.066,0.622,2,0.272,0.0,0.073,19.2,1
gig_worker,50828.59,37,0.885,0.67,2,0.87,0.0,0.119,84.5,0
kirana_merchant,29992.51,42,0.841,0.229,4,0.603,0.149,0.026,43.0,0
kirana_merchant,41251.88,48,1.035,0.898,0,0.886,0.988,0.131,79.0,0
kirana_merchant,27029.87,38,0.636,0.186,0,0.719,0.3,0.079,35.1,0
kirana_merchant,45621.95,42,0.928,0.586,5,0.979,0.742,0.028,21.5,0
gig_worker,32819.03,47,0.657,0.525,1,0.593,0.0,0.059,60.1,0
gig_worker,27084.32,38,1.01,0.573,3,0.781,0.0,0.318,72.1,1
gig_worker,26725.1,47,0.996,0.527,0,0.592,0.0,0.11,56.8,1
freelancer,16693.6,37,0.852,0.146,1,0.335,0.0,0.198,5.0,0
gig_worker,34664.03,46,0.931,0.897,0,0.272,0.0,0.102,81.0,0
gig_worker,26367.77,39,0.986,0.885,13,0.389,0.0,0.236,99.0,1
freelancer,20931.36,40,0.842,0.519,1,0.663,0.0,0.073,56.8,0
gig_worker,46780.93,45,1.053,0.267,3,0.866,0.0,0.168,67.0,0
freelancer,14398.68,51,0.819,0.246,14,0.313,0.0,0.094,27.4,0
kirana_merchant,21780.1,55,1.046,0.146,0,0.939,0.619,0.2,43.2,0
freelancer,44974.88,42,0.891,0.589,3,0.583,0.0,0.053,53.1,0
gig_worker,31500.59,40,0.813,0.483,0,0.603,0.0,0.214,63.9,0
gig_worker,26267.05,46,0.602,0.433,11,0.225,0.0,0.261,69.1,0
kirana_merchant,30500.6,56,0.748,0.52,11,0.976,0.397,0.168,79.9,0
freelancer,29428.15,40,1.034,0.798,5,0.249,0.0,0.334,38.1,1
kirana_merchant,12602.73,40,0.814,0.157,1,0.432,0.549,0.09,66.7,0
gig_worker,22592.4,47,0.811,0.535,5,0.706,0.0,0.053,76.6,1
kirana_merchant,60370.8,50,0.845,0.661,9,0.713,0.472,0.048,43.2,0
kirana_merchant,19347.88,47,0.743,0.877,2,0.542,0.097,0.13,43.6,0
kirana_merchant,22944.87,42,0.846,0.692,11,0.895,0.557,0.068,20.7,1
kirana_merchant,20520.7,46,0.788,0.538,12,0.466,0.327,0.023,50.9,0
freelancer,25757.79,47,1.055,0.713,8,0.324,0.0,0.095,43.6,1
kirana_merchant,20099.27,42,0.882,0.898,0,0.233,0.086,0.098,26.7,1
gig_worker,34316.13,48,1.017,0.811,8,0.309,0.0,0.062,88.2,0
kirana_merchant,29692.71,48,0.943,0.171,6,0.964,0.735,0.148,45.8,0
gig_worker,39607.5,29,0.706,0.56,0,0.448,0.0,0.336,68.3,0
kirana_merchant,15907.24,43,1.034,0.729,0,0.725,0.407,0.322,68.3,0
kirana_merchant,22693.41,51,0.644,0.638,4,0.975,0.954,0.026,20.6,0
gig_worker,24031.93,55,0.824,0.434,6,0.909,0.0,0.291,78.3,0
gig_worker,33786.73,46,0.72,0.358,0,0.604,0.0,0.094,81.1,0
gig_worker,18094.97,49,0.869,0.602,8,0.268,0.0,0.197,75.9,0
freelancer,42524.13,53,0.75,0.43,4,0.775,0.0,0.174,27.8,0
freelancer,48688.97,40,0.961,0.414,1,0.305,0.0,0.344,68.9,1
gig_worker,16408.65,41,1.068,0.769,9,0.318,0.0,0.219,82.1,1
freelancer,21048.06,43,0.955,0.353,0,0.904,0.0,0.228,22.1,0
kirana_merchant,20620.36,39,0.778,0.616,0,0.734,0.541,0.329,33.8,0
gig_worker,100327.3,42,0.9,0.799,1,0.944,0.0,0.073,46.5,1
gig_worker,21699.62,46,1.044,0.597,2,0.967,0.0,0.183,69.8,0
kirana_merchant,62243.71,35,0.735,0.494,7,0.568,0.045,0.06,77.1,1
kirana_merchant,14280.98,51,0.659,0.128,2,0.735,0.302,0.056,21.3,0
kirana_merchant,16402.26,37,0.665,0.645,0,0.724,0.93,0.255,49.0,0
gig_worker,19085.76,48,0.847,0.898,9,0.29,0.0,0.219,67.1,1
gig_worker,17626.44,41,0.966,0.747,1,0.695,0.0,0.057,76.5,0
kirana_merchant,23530.45,45,0.929,0.608,7,0.289,0.748,0.192,49.9,0
gig_worker,18875.33,40,0.827,0.475,1,0.885,0.0,0.333,74.5,0
gig_worker,17860.18,38,0.965,0.279,5,0.943,0.0,0.066,52.0,0
gig_worker,48013.43,49,0.917,0.654,2,0.511,0.0,0.075,60.3,0
freelancer,49607.48,56,0.914,0.242,3,0.755,0.0,0.241,29.9,0
freelancer,43245.49,39,0.701,0.81,2,0.76,0.0,0.095,37.7,0
kirana_merchant,34961.39,46,0.756,0.383,0,0.24,0.294,0.27,65.7,1
freelancer,28180.11,42,0.772,0.42,4,0.331,0.0,0.324,68.5,0
gig_worker,20983.35,41,1.004,0.273,1,0.909,0.0,0.023,70.3,0
kirana_merchant,16704.3,48,0.988,0.485,5,0.358,0.588,0.126,37.0,1
gig_worker,32257.24,43,0.726,0.644,3,0.807,0.0,0.212,74.1,0
kirana_merchant,14960.74,40,0.628,0.342,21,0.674,0.938,0.19,48.5,0
freelancer,16367.28,40,0.984,0.661,3,0.771,0.0,0.2,63.8,0
kirana_merchant,47880.17,46,0.805,0.596,0,0.319,0.58,0.248,20.9,0
gig_worker,69586.41,43,0.71,0.398,0,0.844,0.0,0.286,81.9,0
kirana_merchant,32749.65,54,0.659,0.35,0,0.493,0.457,0.112,62.5,0
gig_worker,46780.82,47,0.606,0.789,2,0.991,0.0,0.267,59.2,0
freelancer,23791.31,50,0.814,0.11,0,0.546,0.0,0.045,55.5,0
kirana_merchant,13782.61,45,0.77,0.673,0,0.454,0.478,0.252,27.9,0
kirana_merchant,36537.19,44,0.948,0.434,6,0.314,0.857,0.295,20.3,0
kirana_merchant,35762.13,43,1.088,0.674,2,0.256,0.95,0.328,40.3,0
kirana_merchant,27884.72,51,0.703,0.506,2,0.905,0.434,0.232,56.3,0
gig_worker,23832.66,56,0.722,0.167,6,0.298,0.0,0.124,45.3,0
kirana_merchant,43525.63,55,0.769,0.886,3,0.904,0.634,0.236,16.2,0
gig_worker,16434.42,44,0.833,0.169,2,0.64,0.0,0.078,87.0,0
kirana_merchant,18271.72,48,0.949,0.227,2,0.73,0.04,0.25,41.5,0
freelancer,16251.6,49,0.776,0.436,0,0.846,0.0,0.309,41.6,0
freelancer,28070.84,40,0.652,0.856,6,0.633,0.0,0.335,44.8,0
kirana_merchant,15616.03,39,0.965,0.334,7,0.594,0.98,0.081,20.5,0
kirana_merchant,19108.32,43,0.997,0.555,6,0.826,0.826,0.224,34.7,0
gig_worker,18903.88,45,0.724,0.517,0,0.533,0.0,0.344,71.4,0
kirana_merchant,23616.38,49,0.668,0.364,7,0.263,0.783,0.227,29.7,0
gig_worker,12788.64,43,0.864,0.657,4,0.704,0.0,0.331,66.5,0
kirana_merchant,28102.18,42,0.704,0.501,4,0.228,0.59,0.165,58.9,0
gig_worker,50194.05,43,0.787,0.563,5,0.68,0.0,0.281,43.2,0
gig_worker,28788.91,40,0.989,0.268,4,0.609,0.0,0.048,74.3,0
kirana_merchant,58142.99,32,0.71,0.841,2,0.444,0.767,0.089,27.3,0
gig_worker,52417.67,44,1.003,0.188,1,0.476,0.0,0.059,68.0,0
kirana_merchant,39690.52,46,0.937,0.652,3,0.564,0.729,0.039,39.9,1
gig_worker,27926.82,50,0.71,0.809,5,0.593,0.0,0.166,73.5,0
gig_worker,27207.56,45,0.863,0.167,2,0.54,0.0,0.302,71.0,0
kirana_merchant,39414.93,58,0.907,0.123,2,0.514,0.901,0.112,48.8,0
gig_worker,22118.39,37,0.7,0.367,6,0.459,0.0,0.098,80.6,0
gig_worker,10495.9,47,0.672,0.732,4,0.718,0.0,0.27,50.0,0
kirana_merchant,34406.54,49,0.866,0.674,2,0.527,0.594,0.107,38.4,0
gig_worker,15282.53,45,0.947,0.758,0,0.454,0.0,0.221,61.0,0
freelancer,16629.43,45,0.833,0.418,0,0.922,0.0,0.073,10.0,0
gig_worker,26906.2,35,0.635,0.895,0,0.345,0.0,0.153,58.2,0
gig_worker,25653.56,49,1.063,0.393,1,0.316,0.0,0.2,86.3,1
kirana_merchant,13279.31,45,0.947,0.744,0,0.821,0.566,0.349,39.9,0
gig_worker,29224.01,46,0.911,0.381,0,0.293,0.0,0.302,79.2,1
gig_worker,43611.22,35,0.922,0.275,11,0.417,0.0,0.025,78.0,0
gig_worker,15303.38,47,0.799,0.369,1,0.481,0.0,0.23,59.3,0
gig_worker,50829.98,44,1.092,0.254,0,0.429,0.0,0.233,79.5,0
freelancer,12331.53,47,0.666,0.203,5,0.788,0.0,0.202,19.4,0
gig_worker,77548.75,55,0.97,0.391,5,0.358,0.0,0.029,82.1,0
kirana_merchant,21902.8,36,0.81,0.217,1,0.752,0.297,0.112,34.5,0
freelancer,28935.04,49,1.041,0.502,1,0.433,0.0,0.087,16.0,1
kirana_merchant,10446.09,42,0.959,0.128,2,0.885,0.499,0.032,46.2,0
freelancer,26080.21,37,0.881,0.445,5,0.901,0.0,0.312,25.4,0
gig_worker,30159.07,48,1.069,0.866,2,0.423,0.0,0.214,80.8,0
freelancer,25768.78,24,1.056,0.387,2,0.677,0.0,0.106,46.7,0
gig_worker,20301.69,32,0.626,0.21,6,0.849,0.0,0.312,30.2,0
kirana_merchant,16759.45,47,0.696,0.344,11,0.258,0.658,0.3,99.0,0
kirana_merchant,47347.22,44,0.938,0.733,2,0.655,0.259,0.095,23.5,0
gig_worker,27320.8,39,1.061,0.351,3,0.981,0.0,0.097,82.0,0
kirana_merchant,58126.46,35,0.815,0.407,0,0.49,0.838,0.08,36.8,0
kirana_merchant,20676.62,49,0.619,0.731,12,0.783,0.473,0.082,49.3,0
gig_worker,21646.58,40,0.922,0.308,2,0.837,0.0,0.262,63.3,0
gig_worker,40449.0,38,0.697,0.483,2,0.795,0.0,0.099,92.6,0
kirana_merchant,11950.31,42,0.876,0.151,1,0.96,0.979,0.294,21.1,0
kirana_merchant,14665.72,45,0.792,0.239,4,0.814,0.805,0.339,60.5,0
freelancer,46571.43,45,0.879,0.268,6,0.947,0.0,0.038,7.3,1
kirana_merchant,14973.44,42,1.066,0.471,9,0.385,0.951,0.195,45.5,0
freelancer,10834.32,33,0.843,0.757,9,0.673,0.0,0.032,15.2,0
